OSEBuildingID	DataYear	NumberofBuildings	NumberofFloors	PropertyGFATotal	PropertyGFABuilding(s)	ENERGYSTARScore	SiteEUI(kBtu/sf)	SiteEUIWN(kBtu/sf)	SourceEUI(kBtu/sf)	SourceEUIWN(kBtu/sf)	SiteEnergyUse(kBtu)	SiteEnergyUseWN(kBtu)	SteamUse(kBtu)	Electricity(kWh)	Electricity(kBtu)	NaturalGas(therms)	NaturalGas(kBtu)	TotalGHGEmissions	GHGEmissionsIntensity	Building_Campus	Building_Multifamily HR (10+)	Building_Multifamily LR (1-4)	Building_Multifamily MR (5-9)	Building_NonResidential	Building_Nonresidential COS	Building_SPS-District K-12	Property_College/University	Property_Distribution Center	"Property_Distribution Center
"	Property_High-Rise Multifamily	Property_Hospital	Property_Hotel	Property_K-12 School	Property_Laboratory	Property_Large Office	Property_Low-Rise Multifamily	Property_Medical Office	Property_Mid-Rise Multifamily	Property_Mixed Use Property	Property_Non-Refrigerated Warehouse	Property_Other	Property_Refrigerated Warehouse	Property_Residence Hall/Dormitory	Property_Restaurant	"Property_Restaurant
"	Property_Retail Store	Property_SPS-District K-12	Property_Self-Storage Facility	"Property_Self-Storage Facility
"	Property_Senior Care Community	Property_Small- and Mid-Sized Office	Property_Supermarket/Grocery Store	Property_Worship Facility	DistrictCode_1	DistrictCode_2	DistrictCode_3	DistrictCode_4	DistrictCode_5	DistrictCode_6	DistrictCode_7
15	2015	-0.043936690370628334	1.1467138248202773	0.41444218572983366	0.41302760667381444	-0.10711992739782304	0.893731524315936	0.9058697084746427	0.5185245590559441	0.5074800630825828	0.7196948199458234	0.7568529377221407	0.9676464640993924	0.30309395545058204	0.3030939639806396	0.8329870315113691	0.8329974486435451	1.1601307504167955	1.595445535538459	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
16	2015	-0.043936690370628334	3.6925983664776107	1.6160514080331754	1.4746669328240125	-0.5362546044449261	0.5407772646998924	0.46689125064963644	0.5671437149462307	0.5288597254210194	1.6775926632453007	1.6522701515880123	1.484252299527104	1.6439336779573188	1.643933703226927	0.47173598380077036	0.47173601011244853	1.5242535134846198	0.5792832719536163	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
17	2015	-0.043936690370628334	0.7830160331549438	-0.17399675691835723	-0.11632792241520168	-0.34850818323681854	0.9613185101998595	0.716435021280449	0.2579562704564381	0.14860715954453896	0.13653051335119942	0.08111937988423386	0.49874385724860876	-0.1946647116597724	-0.1946645247298414	0.46520350072613725	0.46519737367082065	0.5603466037977507	2.4830571513204	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
18	2015	-0.043936690370628334	5.147389533138944	1.501079060230779	1.369656630189628	0.10744741112572852	0.44502903469766786	0.3594234954144691	0.38482188035765513	0.3394970018520091	1.3160670626351307	1.2783635866824106	1.2850131281866068	1.120315689577584	1.120315662269635	0.651047910516062	0.6510431915881763	1.405021109089719	0.591526190791988	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
19	2015	-0.043936690370628334	1.1467138248202773	-0.15810328501186016	-0.0980281690248431	-1.019031116122917	2.114052102775662	2.1535885616287054	1.4043048054321068	1.4298597811122784	0.42427368252791636	0.44617569630356924	1.1912250992351994	0.06613709178136884	0.06613706285767706	0.2316672308080033	0.23167318969573514	0.9359063494760722	3.652255900384888	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
21	2015	-0.043936690370628334	1.1467138248202773	2.1422114372468353	2.1124682915383795	-1.3945239585391325	-0.1407248429630005	-0.2216309778061822	0.06271997258450518	-0.008686070516816347	0.8766312143034952	0.8277834232625684	0.13082108370918877	1.3370025022598493	1.3370024823967275	-0.293392930524102	-0.2933928549005995	0.14347975172793725	-0.4552433698887838	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
22	2015	-0.043936690370628334	0.23746934565694383	0.08567894409237312	0.18266284045406736	-1.3945239585391325	0.4882096090123966	0.47235571278023836	0.31265282083301066	0.3028461521289749	0.3969183503645587	0.4110041572715578	1.1895728582622331	0.19249430516653468	0.19249431741704343	-0.13853047850481037	-0.13853988022820904	0.7494413575010249	1.6872674268262462	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
23	2015	-0.043936690370628334	4.238145053975611	2.1707876460799786	1.930170160221321	-0.589896439075814	0.7885962129409444	0.7273639455416527	0.7547832697103065	0.7327300770053975	2.0868876699041254	2.083581175540651	-0.07067551988677616	1.9468109153867503	1.9468109500187767	2.3904162028048774	2.390408058198217	1.6029478927481708	0.3711536517012992	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
24	2015	-0.043936690370628334	0.055620449824277135	-0.22444067426291764	-0.17440908006784334	-1.3945239585391325	1.4400596602109823	1.5069605428408333	1.1103108471580287	1.1565055269279811	0.18624450647240143	0.20869022366679627	0.43232239470063055	0.03288990678753594	0.03288988021338417	0.16875657858925394	0.16875260079704404	0.3882460650363215	2.054554991977394	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
25	2015	-0.043936690370628334	0.9648649289876106	0.08862267408429467	0.1860522529887789	0.8316121786427151	0.4074807092065994	0.3175292857465225	-0.09909065561285571	-0.15376235067049362	0.21302313240711857	0.19159844173366236	0.8478561280703087	-0.17615513155838558	-0.1761550797470908	0.3809202680132078	0.3809259805975705	0.7497638754488265	1.7668463992756613	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
