,energy_100g,carbohydrates_100g,fat_100g,proteins_100g,sodium_100g,salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,trans-fat_100g,cholesterol_100g,iron_100g,vitamin-c_100g,calcium_100g,vitamin-a_100g
44292,243.0,7.44,2.48,1.65,0.26822399999999996,0.67056,4.96,0.41,1.7,0.0,0.0,0.0006,0.003,0.05,9.93e-05
44293,238.0,9.84,0.82,1.64,0.5161279999999999,1.2903200000000001,6.56,0.0,1.6,0.0,0.0,0.00118,0.0,0.033,0.000246
44298,276.0,9.09,2.89,1.65,0.260096,0.6502399999999999,4.96,0.0,2.5,0.0,0.0,0.0008900000000000001,0.005,0.05,0.0003099
44301,612.0,2.2,7.0,18.3,0.452,1.13,0.7,2.7,0.5,,,,,,
44308,1100.0,15.79,19.3,7.02,0.463296,1.15824,1.75,2.63,5.3,0.0,0.0,0.0018899999999999998,0.0,0.035,0.0
44309,1050.0,14.3,17.9,7.14,0.000472,1.18,0.0,3.57,7.14,0.0,0.0,0.00257,0.0,0.0,0.0
44311,1197.0,14.29,21.43,7.14,0.580136,1.45034,0.0,3.57,3.6,0.0,0.0,0.00257,0.0,0.071,0.0
44320,606.0,9.68,12.9,3.23,0.49200000000000005,1.23,0.0,1.61,6.45,0.0,0.0,0.00116,0.0968,0.0,9.68e-05
44322,1197.0,14.29,21.43,7.14,0.47142399999999995,1.17856,0.0,3.57,7.1,0.0,0.0,0.00257,0.0,0.071,0.0
44326,1046.0,14.29,17.86,7.14,0.47142399999999995,1.17856,0.0,3.57,3.6,0.0,0.0,0.00257,0.0,0.071,0.0
44330,1046.0,14.29,17.86,7.14,0.47142399999999995,1.17856,0.0,3.57,7.1,0.0,0.0,0.00257,0.0,0.071,0.0
44346,556.0,6.67,8.33,6.67,0.32207199999999997,0.80518,3.33,5.0,0.0,0.0,0.033,0.0,0.0,0.133,0.0
44348,607.0,9.68,12.9,3.23,0.393192,0.98298,0.0,1.61,6.4,0.0,0.0,0.00116,0.0677,0.0,9.690000000000001e-05
44353,628.0,6.67,11.67,6.67,0.4572,1.143,3.33,5.0,0.0,0.0,0.033,0.0,0.0,0.133,0.0
44355,1100.0,15.79,19.3,7.02,0.463296,1.15824,1.75,2.63,5.3,0.0,0.0,0.0018899999999999998,0.0,0.035,5.25e-05
44357,556.0,6.67,8.33,6.67,0.32207199999999997,0.80518,3.33,5.0,0.0,0.0,0.033,0.0,0.0,0.133,0.0
44358,556.0,6.67,8.33,6.67,0.32207199999999997,0.80518,3.33,5.0,0.0,0.0,0.033,0.0,0.0,0.133,0.0
44359,490.0,6.67,8.33,6.67,0.372872,0.9321799999999999,3.33,5.0,0.0,0.0,0.033,0.0,0.008,0.133,0.0
44360,490.0,6.67,8.33,6.67,0.372872,0.9321799999999999,3.33,3.33,0.0,0.0,0.033,0.0,0.0,0.2,0.0
44361,1971.0,64.71,26.47,5.88,0.388112,0.9702799999999999,0.0,2.94,5.9,0.0,0.0,0.0,0.0,0.0,0.0
44367,556.0,6.67,8.33,6.67,0.474472,1.18618,6.67,5.0,0.0,0.0,0.033,0.0,0.0,0.2,0.0003
44375,607.0,9.68,12.9,3.23,0.49174399999999996,1.22936,0.0,1.61,6.4,0.0,0.0,0.00116,0.0871,0.0,9.690000000000001e-05
44376,661.0,10.53,12.28,1.75,0.498856,1.24714,0.0,1.75,5.3,0.0,0.0,0.00063,0.0842,0.0,0.0001053
44385,628.0,6.67,11.67,6.67,0.4572,1.143,3.33,5.0,0.0,0.0,0.033,0.0,0.0,0.133,0.0
44386,8.0,0.2,0.01,0.01,0.004,0.01,0.01,0.01,,,,,,,
44387,1452.0,1.9,35.1,4.8,0.5720000000000001,1.43,1.3,4.8,2.0,,,,,,
44390,837.0,3.33,20.0,3.33,0.0508,0.127,3.33,11.67,0.0,0.0,0.067,0.0,0.0,0.133,0.00020009999999999998
44391,837.0,6.67,16.67,3.33,0.0508,0.127,3.33,11.67,0.0,0.0,0.067,0.0,0.0,0.133,0.00020009999999999998
44392,314.0,12.92,1.04,3.33,0.056896,0.14224,12.5,0.62,0.0,0.0,0.004,0.00015,0.0,0.10400000000000001,6.24e-05
44404,569.0,16.0,4.0,8.4,0.23199999999999998,0.58,2.3,0.9,1.1,,,,,,
44424,209.0,10.0,0.0,0.0,1.1856719999999998,2.96418,6.67,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0
44427,837.0,13.33,16.67,0.0,0.9144,2.286,10.0,3.33,0.0,0.0,0.017,0.0,0.0,0.0,0.0
44438,1812.0,16.67,40.0,0.0,0.9824719999999999,2.45618,13.33,6.67,0.0,0.0,0.033,0.0,0.0,0.0,0.0
44445,1812.0,16.67,40.0,0.0,0.9824719999999999,2.45618,13.33,6.67,0.0,0.0,0.033,0.0,0.0,0.0,0.0
44450,1628.0,94.44,0.0,0.0,0.0,0.0,94.44,0.0,,,,,,,
44453,1046.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
44458,837.0,10.0,16.7,0.0,0.948,2.37,10.0,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44499,1339.0,30.67,20.0,2.67,0.08127999999999999,0.2032,25.33,17.33,1.3,0.0,0.013000000000000001,0.0009599999999999999,0.0,0.107,8.01e-05
44517,1536.0,71.67,2.5,13.33,1.252728,3.1318200000000003,3.33,0.83,3.3,0.0,0.008,0.0024,0.0,0.033,0.0
44523,335.0,18.0,0.0,0.0,0.0,0.0,18.0,0.0,,,,,,,
44524,335.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,,,,,,,
44601,1674.0,10.0,40.0,0.0,0.744728,1.86182,6.67,6.67,0.0,0.0,0.017,0.0,0.0,0.0,0.0
44611,1393.0,66.67,0.0,0.0,4.572,11.43,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44686,2556.0,16.0,48.4,24.5,0.012,0.03,1.5,6.2,6.5,,,,,,
44687,1351.0,37.4,17.4,3.4,0.092,0.23,17.1,10.4,,,,,,,
44689,2481.0,25.7,44.0,21.3,0.152,0.38,14.5,6.9,6.7,,,,,,
44743,866.0,30.34,5.52,8.28,0.46939200000000003,1.1734799999999999,3.45,2.41,1.4,0.0,0.013999999999999999,0.00186,0.0017,0.138,4.14e-05
44744,941.0,31.67,6.67,10.0,0.49987200000000004,1.24968,5.83,2.92,1.7,0.0,0.012,0.0012,0.002,0.083,2.49e-05
44745,941.0,31.67,6.67,10.0,0.49987200000000004,1.24968,5.83,2.92,1.7,0.0,0.012,0.0012,0.002,0.083,2.49e-05
44748,908.0,32.17,5.22,10.43,0.450088,1.12522,4.35,3.04,1.7,0.0,0.013000000000000001,0.00157,0.001,0.13,0.0001044
44762,268.0,10.4,2.0,1.6,0.357632,0.8940799999999999,7.2,0.0,1.6,0.0,0.0,0.00115,0.012,0.016,0.00023999999999999998
44765,1494.0,75.0,1.79,12.5,0.0,0.0,1.79,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0
44766,1494.0,75.0,1.79,12.5,0.0,0.0,1.79,0.0,3.6,0.0,0.0,0.00321,0.0,0.0,0.0
44784,1494.0,75.0,1.79,12.5,0.0,0.0,1.79,0.0,3.6,0.0,0.0,0.00321,,,
44797,1494.0,75.0,1.79,12.5,0.0,0.0,1.79,0.0,3.6,0.0,0.0,0.00321,,,
44801,377.0,9.0,4.5,2.0,0.18,0.45,6.0,2.0,2.0,0.0,0.01,0.00036,0.0036,0.08,9e-05
44802,201.0,7.2,1.6,1.6,0.349504,0.87376,4.8,0.0,1.6,0.0,0.0,0.00086,0.0053,0.048,0.00018
44803,201.0,6.4,1.6,1.6,0.333248,0.8331200000000001,4.0,0.0,1.6,0.0,0.0,0.00086,0.0019,0.048,0.00018
44805,201.0,8.0,0.8,1.6,0.39799999999999996,0.996,4.8,0.0,1.6,0.0,0.0,0.000288,0.00288,0.048,7.2e-05
44806,418.0,6.67,7.5,1.67,0.728,1.82,1.67,4.17,1.67,0.0,0.0417,0.0,0.0,0.0667,0.0001
44807,418.0,5.0,6.67,3.33,0.593,1.48,1.67,4.17,0.0,0.0,0.0583,0.0,0.0,0.0667,0.0
44813,201.0,6.4,1.6,1.6,0.333248,0.8331200000000001,4.0,0.0,1.6,0.0,0.0,0.00086,0.0019,0.048,0.00018
44815,916.0,1.56,21.88,0.0,0.41249600000000003,1.03124,1.56,3.91,0.0,0.0,0.0,0.0,0.0009,0.0,4.68e-05
44816,201.0,7.2,1.6,1.6,0.349504,0.87376,4.8,0.0,1.6,0.0,0.0,0.00086,0.0053,0.048,0.00018
